MES;Área Integrada de Segurança Pública - AISP ;Homicídio Doloso ;Lesão Corporal Seguida de Morte ;Roubo com Resultado Morte - (Latrocínio) ;Tentativa de Homicídio ;Estupro ;Roubo a Ônibus (Urbano e em Rodovia) ;Roubo de Veículo ;Furto de Veículo ;Uso ou Porte Substância Entorpecente (Usuários) 
2014-15-10;AISP 06 - Brotas ;2;0;1;1;1;12;54;13;14
2014-15-10;AISP 07 - Rio Vermelho ;3;0;0;1;2;11;34;3;3
2014-15-10;AISP 09 - Boca do Rio ;2;0;0;0;1;4;41;5;2
2014-15-10;AISP 12 - Itapuã ;12;0;0;1;7;15;63;16;2
2014-15-10;AISP 14 - Barra ;0;0;0;0;2;5;10;0;5
2014-15-10;AISP 15 - Nordeste ;2;0;0;0;0;4;1;0;4
2014-15-10;AISP 16 - Pituba ;3;0;0;0;0;18;33;4;0
2014-15-10;AISP 01 - Barris ;2;0;1;1;0;19;28;11;10
2014-15-10;AISP 02 - Liberdade ;8;0;0;1;1;11;63;11;1
2014-15-10;AISP 03 - Bonfim ;7;1;0;8;3;6;34;17;10
2014-15-10;AISP 04 - São Caetano ;5;0;0;4;3;10;51;12;1
2014-15-10;AISP 05 - Periperi ;17;2;0;10;8;18;43;7;12
2014-15-10;AISP 08 - CIA ;2;0;0;2;0;5;24;3;0
2014-15-10;AISP 10 - Pau da Lima ;9;0;0;6;4;8;60;15;8
2014-15-10;AISP 11 - Tancredo Neves ;12;1;0;14;8;21;64;22;12
2014-15-10;AISP 13 - Cajazeiras ;5;0;0;8;5;6;22;5;2
2014-15-11;AISP 06 - Brotas ;2;0;0;4;3;14;38;6;5
2014-15-11;AISP 07 - Rio Vermelho ;1;0;0;0;2;10;22;5;3
2014-15-11;AISP 09 - Boca do Rio ;2;0;0;0;1;5;60;9;1
2014-15-11;AISP 12 - Itapuã ;14;0;1;3;6;5;71;19;16
2014-15-11;AISP 14 - Barra ;0;0;0;1;0;3;6;2;1
2014-15-11;AISP 15 - Nordeste ;1;0;0;0;0;6;3;2;4
2014-15-11;AISP 16 - Pituba ;1;0;0;3;1;9;27;1;3
2014-15-11;AISP 01 - Barris ;3;0;1;2;2;7;32;9;9
2014-15-11;AISP 02 - Liberdade ;6;0;0;1;2;9;31;14;0
2014-15-11;AISP 03 - Bonfim ;5;1;0;3;5;17;27;24;7
2014-15-11;AISP 04 - São Caetano ;12;0;1;3;6;8;39;8;2
2014-15-11;AISP 05 - Periperi ;21;0;0;15;5;17;29;6;3
2014-15-11;AISP 08 - CIA ;3;0;0;0;0;2;10;2;2
2014-15-11;AISP 10 - Pau da Lima ;4;0;0;6;2;9;44;6;7
2014-15-11;AISP 11 - Tancredo Neves ;17;0;1;9;4;39;66;12;16
2014-15-11;AISP 13 - Cajazeiras ;8;0;0;7;1;2;19;2;2
2014-15-12;AISP 06 - Brotas ;4;0;1;3;2;12;50;9;0
2014-15-12;AISP 07 - Rio Vermelho ;1;1;1;1;0;8;41;3;1
2014-15-12;AISP 09 - Boca do Rio ;2;0;0;0;0;11;53;3;8
2014-15-12;AISP 12 - Itapuã ;12;0;0;2;8;26;62;13;6
2014-15-12;AISP 14 - Barra ;0;0;0;0;0;6;6;3;1
2014-15-12;AISP 15 - Nordeste ;0;0;0;2;2;3;0;0;7
2014-15-12;AISP 16 - Pituba ;0;0;0;0;1;8;33;3;1
2014-15-12;AISP 01 - Barris ;2;0;1;0;2;17;23;8;7
2014-15-12;AISP 02 - Liberdade ;11;0;0;4;1;5;30;16;3
2014-15-12;AISP 03 - Bonfim ;4;0;0;5;2;16;25;35;8
2014-15-12;AISP 04 - São Caetano ;13;0;1;8;4;4;41;11;2
2014-15-12;AISP 05 - Periperi ;17;0;1;18;5;30;40;4;6
2014-15-12;AISP 08 - CIA ;2;0;0;0;0;1;10;0;3
2014-15-12;AISP 10 - Pau da Lima ;12;0;1;5;3;4;37;5;1
2014-15-12;AISP 11 - Tancredo Neves ;21;0;0;3;7;42;74;18;12
2014-15-12;AISP 13 - Cajazeiras ;12;0;1;6;2;2;22;3;3
2014-15-1;AISP 06 - Brotas ;5;0;0;3;2;39;53;13;9
2014-15-1;AISP 07 - Rio Vermelho ;2;0;0;0;2;8;20;3;8
2014-15-1;AISP 09 - Boca do Rio ;0;0;0;0;4;4;47;4;0
2014-15-1;AISP 12 - Itapuã ;14;0;0;3;4;20;76;31;14
2014-15-1;AISP 14 - Barra ;1;0;0;0;0;1;7;2;11
2014-15-1;AISP 15 - Nordeste ;2;0;0;0;1;9;2;1;2
2014-15-1;AISP 16 - Pituba ;0;0;0;0;0;4;22;4;4
2014-15-1;AISP 01 - Barris ;3;0;0;6;1;4;27;8;12
2014-15-1;AISP 02 - Liberdade ;4;1;1;7;1;3;34;17;5
2014-15-1;AISP 03 - Bonfim ;9;0;0;4;6;10;26;23;1
2014-15-1;AISP 04 - São Caetano ;10;0;1;1;4;20;44;5;2
2014-15-1;AISP 05 - Periperi ;22;0;0;10;11;11;30;6;2
2014-15-1;AISP 08 - CIA ;2;0;0;0;0;0;9;0;0
2014-15-1;AISP 10 - Pau da Lima ;9;0;0;7;1;12;43;4;1
2014-15-1;AISP 11 - Tancredo Neves ;24;0;0;12;8;25;51;16;4
2014-15-1;AISP 13 - Cajazeiras ;7;0;0;6;7;8;10;1;0
2014-15-2;AISP 06 - Brotas ;8;0;0;12;0;22;58;18;3
2014-15-2;AISP 07 - Rio Vermelho ;2;0;0;4;0;8;23;8;52
2014-15-2;AISP 09 - Boca do Rio ;0;0;0;3;0;3;34;5;2
2014-15-2;AISP 12 - Itapuã ;16;0;0;14;7;14;67;25;18
2014-15-2;AISP 14 - Barra ;1;0;0;0;0;3;3;4;0
2014-15-2;AISP 15 - Nordeste ;1;0;0;0;1;4;0;0;2
2014-15-2;AISP 16 - Pituba ;0;0;0;0;1;9;18;4;0
2014-15-2;AISP 01 - Barris ;2;0;0;0;1;8;24;15;20
2014-15-2;AISP 02 - Liberdade ;10;0;0;3;5;7;44;22;3
2014-15-2;AISP 03 - Bonfim ;4;0;1;2;1;6;30;20;4
2014-15-2;AISP 04 - São Caetano ;8;0;0;0;4;17;29;5;5
2014-15-2;AISP 05 - Periperi ;22;1;0;15;8;16;27;1;1
2014-15-2;AISP 08 - CIA ;5;0;0;2;2;0;7;1;1
2014-15-2;AISP 10 - Pau da Lima ;4;0;0;3;3;13;35;16;1
2014-15-2;AISP 11 - Tancredo Neves ;25;2;1;14;9;18;49;21;8
2014-15-2;AISP 13 - Cajazeiras ;11;0;0;6;2;1;18;3;0
2014-15-3;AISP 06 - Brotas ;9;0;0;7;4;20;44;20;1
2014-15-3;AISP 07 - Rio Vermelho ;1;0;1;3;1;13;24;9;20
2014-15-3;AISP 09 - Boca do Rio ;2;0;0;3;1;5;49;4;1
2014-15-3;AISP 12 - Itapuã ;10;0;1;2;5;16;66;31;15
2014-15-3;AISP 14 - Barra ;0;0;0;0;1;3;10;2;3
2014-15-3;AISP 15 - Nordeste ;0;0;0;4;1;5;1;0;1
2014-15-3;AISP 16 - Pituba ;1;0;0;0;0;9;33;1;3
2014-15-3;AISP 01 - Barris ;5;0;0;2;4;6;25;12;2
2014-15-3;AISP 02 - Liberdade ;11;0;0;6;3;17;51;10;6
2014-15-3;AISP 03 - Bonfim ;5;0;0;6;1;9;43;12;6
2014-15-3;AISP 04 - São Caetano ;14;0;0;2;2;19;44;11;2
2014-15-3;AISP 05 - Periperi ;27;0;0;13;9;4;29;9;5
2014-15-3;AISP 08 - CIA ;3;0;0;0;0;0;8;1;0
2014-15-3;AISP 10 - Pau da Lima ;12;1;0;1;4;18;53;17;2
2014-15-3;AISP 11 - Tancredo Neves ;21;0;2;17;10;19;70;18;3
2014-15-3;AISP 13 - Cajazeiras ;10;0;0;11;8;3;11;4;3
2014-15-4;AISP 06 - Brotas ;10;0;0;5;1;19;61;16;7
2014-15-4;AISP 07 - Rio Vermelho ;0;0;0;0;4;7;29;3;2
2014-15-4;AISP 09 - Boca do Rio ;2;0;0;1;1;4;64;5;2
